cohort_definition_id,cohort_name,limit,prior_observation,future_observation,end,number_records,number_subjects
1,2988_ehden_broad_adagrasib_kras_g12c_directed_tyrosine_kinase_inhibitor_rx_final,first,0,0,observation_period_end_date,<5,<5
2,2989_ehden_broad_capecitabine_chemotherapy_antimetabolite_pyrimidine_analog_rx_final,first,0,0,observation_period_end_date,5,5
3,2990_ehden_narrow_cisplatin_chemotherapy_alkylating_agent_platinum_compound_rx_final,first,0,0,observation_period_end_date,<5,<5
4,2991_ehden_broad_dabrafenib_chemotherapy_tyrosine_kinase_inhibitor_braf_inhibitors_drug_final,first,0,0,observation_period_end_date,<5,<5
5,2992_ehden_narrow_nivolumab_single_agent_only_immunotherapy_checkpoint_inhibitor_pd_1_rx_final,first,0,0,observation_period_end_date,<5,<5
6,2993_ehden_broad_pembrolizumab_immunotherapy_checkpoint_inhibitor_pd_1_rx_final,first,0,0,observation_period_end_date,<5,<5
7,2994_ehden_broad_paclitaxel_chemotherapy_antimitotic_agent_taxane_rx_final,first,0,0,observation_period_end_date,10,10
8,2995_ehden_narrow_roa_dexamethasone_corticosteroid_inj_oral_rx_final,first,0,0,observation_period_end_date,76,76
9,2996_ehden_broad_gemcitabine_chemotherapy_antimetabolite_pyrimidine_analog_rx_final,first,0,0,observation_period_end_date,13,13
10,2997_ehden_narrow_fluorouracil_single_agent_chemotherapy_antimetab_pyrimidine_analog_inj_rx_final,first,0,0,observation_period_end_date,26,26
11,2999_ehden_narrow_kras_mutation_detected_idenitfied_observation_final,first,0,0,observation_period_end_date,<5,<5
12,3003_ehden_karnofsky_performance_status_observation_final,first,0,0,observation_period_end_date,<5,<5
13,3008_ehden_narrow_her2_observation_final,first,0,0,observation_period_end_date,<5,<5
14,3009_ehden_narrow_her2_positive_condition_final,first,0,0,observation_period_end_date,<5,<5
15,3010_ehden_narrow_her2_meas_value_final,first,0,0,observation_period_end_date,<5,<5
16,3015_ehden_broad_erlotinib_chemotherapy_tyrosine_kinase_inhibitor_egfr_rx_final,first,0,0,observation_period_end_date,<5,<5
17,3020_ehden_broad_oxaliplatin_chemotherapy_anklyating_agent_platinum_compound_rx_final,first,0,0,observation_period_end_date,10,10
18,3031_ehden_broad_gastrectomy_partial_and_total_procedure_final,first,0,0,observation_period_end_date,<5,<5
19,3032_ehden_pancreatectomy_total_or_subtotal_possible_w_partial_gastrectomy_procedure_final,first,0,0,observation_period_end_date,<5,<5
20,3034_ehden_pancreatic_malig_neopl_not_incl_neuroendocrine_sarcoma_condition_final,first,0,0,observation_period_end_date,26,26
21,3035_ehden_broad_secondary_malignant_neoplasm_metastasis_all_sites_cond_final,first,0,0,observation_period_end_date,163,163
22,3036_ehden_narrow_kras_mutation_positive_meas_value_final,first,0,0,observation_period_end_date,<5,<5
23,3037_ehden_narrow_braf_mutation_results_observation_final,first,0,0,observation_period_end_date,<5,<5
24,3041_ehden_narrow_braf_mutation_condition_final,first,0,0,observation_period_end_date,<5,<5
25,3042_ehden_narrow_brca1_brca2_mutation_positive_observation_final,first,0,0,observation_period_end_date,<5,<5
26,3044_ehden_narrow_brca1_brca2_mutation_positive_cond_final,first,0,0,observation_period_end_date,<5,<5
27,3045_ehden_ecog_observation_final,first,0,0,observation_period_end_date,<5,<5
28,3047_ehden_broad_tnm_tumor_staging_condition_final,first,0,0,observation_period_end_date,<5,<5
29,3048_ehden_tumor_staging_mets_at_diagnosis_observation_final,first,0,0,observation_period_end_date,<5,<5
30,3049_ehden_death_sudden_death_condition_final,first,0,0,observation_period_end_date,<5,<5
31,3050_ehden_death_sudden_death_observation_final,first,0,0,observation_period_end_date,6,6
32,3053_ehden_microsatellite_instability_msi_observation_final,first,0,0,observation_period_end_date,<5,<5
33,3054_ehden_d_mmr_dna_mismatch_repair_observation_final,first,0,0,observation_period_end_date,<5,<5
34,3057_ehden_d_mmr_dna_mismatch_repair_cond_final,first,0,0,observation_period_end_date,<5,<5
35,3058_ehden_cancer_antigen_19_9_ca19_9_condition_final,first,0,0,observation_period_end_date,<5,<5
36,3059_ehden_cancer_antigen_19_9_ca19_9_observation_final,first,0,0,observation_period_end_date,<5,<5
37,3061_ehden_nausea_and_or_vomiting_not_incl_pregnancy_related_cond_final,first,0,0,observation_period_end_date,280,280
38,3085_ehden_narrow_gastric_stomach_staging_p_t_p_n_condition_final,first,0,0,observation_period_end_date,<5,<5
39,3086_ehden_narrow_pancreatic_ca_staging_p_t_p_n_condition_final,first,0,0,observation_period_end_date,<5,<5
40,3114_ehden_broad_metastatic_site_metastasis_to_metastases_liver_non_std_meas_value_final,first,0,0,observation_period_end_date,<5,<5
41,3131_ehden_broad_esophagus_staging_p_t_p_n_p_m_condition_final,first,0,0,observation_period_end_date,<5,<5
42,3138_ehden_broad_metastatic_site_metastasis_to_metastases_lymph_node_s_non_std_obs_final,first,0,0,observation_period_end_date,<5,<5
43,3141_ehden_narrow_tnm_tumor_staging_metastases_m1_tumor_agnostic_meas_value_final,first,0,0,observation_period_end_date,<5,<5
44,3149_ehden_broad_tnm_tumor_staging_metastases_p_t1_meas_final,first,0,0,observation_period_end_date,<5,<5
45,3150_ehden_broad_tnm_tumor_staging_tumor_size_p_t1_meas_value_final,first,0,0,observation_period_end_date,<5,<5
46,3152_ehden_pancreatic_ductal_adenocarcinoma_pdac_cond_final,first,0,0,observation_period_end_date,<5,<5
47,3159_ehden_combo_gastric_gej_lower_third_esophag_combo_3028_30_cond_final,first,0,0,observation_period_end_date,24,24
48,3161_ehden_combo_staging_n0_n1_nodes_combined_3133_3137_3151_cond_final,first,0,0,observation_period_end_date,<5,<5
49,3163_hden_combination_tnm_tumor_staging_t_tumor_size_3139_3144_3143_cond_final,first,0,0,observation_period_end_date,<5,<5
50,3164_ehden_combo_tnm_tumor_staging_metastases_m_3140_3082_3160_cond_final,first,0,0,observation_period_end_date,<5,<5
51,3165_ehden_combo_clinical_staging_all_available_3146_3147_cond_final,first,0,0,observation_period_end_date,<5,<5
52,3168_ehden_combo_metastasis_n_lymph_node_s_3103_3134_3135_3136_tumor_agnostic_cond_final,first,0,0,observation_period_end_date,64,64
53,3738_broad_irinotecan_not_incl_liposomal_chemotherapy_topoisomerae_i_inhibitor_rx_final,first,0,0,observation_period_end_date,<5,<5
54,3739_broad_irinotecan_only_liposomal_chemotherapy_topoisomerae_i_inhibitor_rx_final,first,0,0,observation_period_end_date,<5,<5
55,ehden_broad_docetaxel_chemotherapy_antimitotic_agent_taxane_rx_final,first,0,0,observation_period_end_date,5,5
56,ehden_broad_ipilimumab_immunotherapy_checkpoint_inhibitor_ctla_4_rx_final,first,0,0,observation_period_end_date,<5,<5
57,ehden_broad_irinotecan_includes_liposomal_chemotherapy_topoisomerae_i_inhibitor_rx_final,first,0,0,observation_period_end_date,<5,<5
58,ehden_broad_sotorasib_kras_g12c_directed_tyrosine_kinase_inhibitor_rx_final,first,0,0,observation_period_end_date,<5,<5
59,ehden_broad_trametinib_chemotherapy_mek_inhibitor_braf_rx_final,first,0,0,observation_period_end_date,<5,<5
60,ehden_narrow_roa_leucovorin_ancillary_therapy_chemoprotective_inj_only_rx_final,first,0,0,observation_period_end_date,<5,<5
